FILE NAME^# OF ENTRIES^GLOBAL^FILE VERSION^LAST IEN
FILE^2792^DIC(^
INDEX^1453^DD("IX",^22.2^1508
IVM TRANSMISSION LOG^^IVM(301.6,^2.0^
IVM BILLING TRANSMISSION^^IVM(301.61,^2.0^
IVM FINANCIAL QUERY LOG^1^IVM(301.62,^2.0^1
IVM EXTRACT MANAGEMENT^^IVM(301.63,^2.0^
IVM ADDRESS CHANGE LOG^2^IVM(301.7,^2.0^2
IVM SITE PARAMETER^1^IVM(301.9,^2.0^1
IVM REASONS FOR NOT UPLOADING INSURANCE^9^IVM(301.91,^2.0^9
IVM DEMOGRAPHIC UPLOAD FIELDS^152^IVM(301.92,^2.0^155
IVM CASE CLOSURE REASON^7^IVM(301.93,^2.0^7
IVM FINANCIAL QUERY CLOSURE REASON^6^IVM(301.94,^2.0^6
AR DEBTOR^^RCD(340,^4.5^
AR EVENT^^RC(341,^4.5^
AR EVENT TYPE^16^RC(341.1,^4.5^16
AR SITE PARAMETER^1^RC(342,^4.5^1
AR GROUP^^RC(342.1,^4.5^
AR GROUP TYPE^10^RC(342.2,^4.5^10
AR USER CUSTOMIZE^^RC(342.3,^4.5^
AR FORM LETTER^18^RC(343,^4.5^18
AR BATCH PAYMENT^^RCY(344,^4.5^
AR DEPOSIT^0^RCY(344.1,^4.5^
AR PAYMENT TRANSACTIONS^^RCY(344.2,^4.5^
EDI LOCKBOX DEPOSIT^^RCY(344.3,^4.5^
EDI THIRD PARTY EFT DETAIL^^RCY(344.31,^4.5^
ELECTRONIC REMITTANCE ADVICE^0^RCY(344.4,^4.5^
EDI LOCKBOX EOB WORKLIST^^RCY(344.49,^4.5^
AR EDI LOCKBOX MESSAGES^^RCY(344.5,^4.5^
RCDPE AUTO-PAY EXCLUSION^^RCY(344.6,^4.5^
RCDPE PARAMETER^1^RCY(344.61,^4.5^1
RCDPE CARC-RARC AUTO DEC^^RCY(344.62,^4.5^
RCDPE PARAMETER AUDIT^^RCY(344.7,^4.5^
RCDPE SUSPENSE AUDIT^^RCY(344.71,^4.5^
RCDPE AUTO-POST AUDIT^^RCY(344.72,^4.5^
RCDPE DM REPORT PARAMETERS^2^RCDM(344.9,^4.5^2
RCDPE DM REPORT ARCHIVE^^RCDM(344.91,^4.5^
AR EDI CARC DATA^351^RC(345,^4.5^351
AR PLB ADJUST CODE^41^RC(345.1,^4.5^41
AR EDI RARC DATA^1006^RC(346,^4.5^1006
AR FMS DOCUMENT^^RC(347,^4.5^
AR FMS DOCUMENT TYPE^9^RC(347.1,^4.5^9
REVENUE SOURCE CODE^44^RC(347.3,^4.5^8043
AR/FMS DOCUMENTS^8^PRCA(347.4,^4.5^9
AR NATIONAL DATA BASE CRITERIA^77^RC(348,^4.5^77
BAD DEBT ALLOWANCE^3^RC(348.1,^4.5^3
TOP REFUND/REVERSAL CODES^8^RC(348.2,^4.5^8
AR DATA QUEUE^^RCXV(^4.5^
TCS IAI ERROR CODES^313^RC(348.5,^4.5^314
TCS IAI ACTION CODES^6^RC(348.6,^4.5^6
TCS IAI RECORD TYPES^14^RC(348.7,^4.5^14
AR TRANSMISSION RECORDS^^RCT(349,^4.5^
AR TRANSMISSION TYPE^5^RCT(349.1,^4.5^5
AR CCPC STATEMENTS^^RCPS(349.2,^4.5^
AR RC TRANSMISSIONS^^RCT(349.3,^4.5^
AR RC TRANSACTION CODES^16^RCT(349.4,^4.5^17
CCPC STATEMENT ERRORS^35^RCPSE(349.7,^4.5^37
CCPC ERROR TYPE^2^RCPSS(349.8,^4.5^2
AR TRANSMISSION SEGMENTS^1^RCT(349.9,^4.5^1
INTEGRATED BILLING ACTION^^IB(^2.0^
IB ACTION TYPE^116^IBE(350.1,^2.0^116
IB ACTION CHARGE^106^IBE(350.2,^2.0^113
IB ACTION STATUS^11^IBE(350.21,^2.0^21
IB CHARGE REMOVE REASONS^49^IBE(350.3,^2.0^49
BILLABLE AMBULATORY SURGICAL CODE^^IBE(350.4,^2.0^
UPDATE BILLABLE AMBULATORY SURGICAL CODE^^IBE(350.41,^2.0^
BASC LOCALITY MODIFIER^^IBE(350.5,^2.0^
IB ARCHIVE/PURGE LOG^^IBE(350.6,^2.0^
AMBULATORY CHECK-OFF SHEET^^IBE(350.7,^2.0^
AMBULATORY SURG. CHECK-OFF SHEET PRINT FIELDS^^IBE(350.71,^2.0^
IB ERROR^358^IBE(350.8,^2.0^295
IB SITE PARAMETERS^1^IBE(350.9,^2.0^
MEANS TEST BILLING CLOCK^^IBE(351,^2.0^
IB CONTINUOUS PATIENT^^IBE(351.1,^2.0^
SPECIAL INPATIENT BILLING CASES^^IBE(351.2,^2.0^
TRICARE PHARMACY TRANSACTIONS^^IBA(351.5,^2.0^
TRICARE PHARMACY ERRORS^150^IBE(351.51,^2.0^150
TRICARE PHARMACY REJECTS^^IBA(351.52,^2.0^
PRODUCT SELECTION REASON^10^IBA(351.53,^2.0^10
TRANSFER PRICING PATIENT^^IBAT(351.6,^2.0^
TRANSFER PRICING TRANSACTIONS^^IBAT(351.61,^2.0^
TRANSFER PRICING FIELD DEFINITION^23^IBAT(351.62,^2.0^999
TRANSFER PRICING INPT PROSTHETIC ITEMS^^IBAT(351.67,^2.0^
IB DM EXTRACT REPORTS^38^IBE(351.7,^2.0^38
IB DM EXTRACT DATA ELEMENTS^586^IBE(351.701,^2.0^586
IB DM EXTRACT DATA^^IBE(351.71,^2.0^
IB DM WORKLOAD PARAMETERS^^IBE(351.73,^2.0^
LTC COPAY CLOCK^^IBA(351.81,^2.0^
CLAIMSMANAGER BILLS^^IBA(351.9,^2.0^
CLAIMSMANAGER STATUS^11^IBA(351.91,^2.0^11
BILLABLE APPOINTMENT TYPE^11^IBE(352.1,^2.0^11
NON-BILLABLE DISPOSITIONS^^IBE(352.2,^2.0^
NON-BILLABLE CLINIC STOP CODES^31^IBE(352.3,^2.0^31
NON-BILLABLE CLINICS^^IBE(352.4,^2.0^
IB CLINIC STOP CODE BILLABLE TYPES^806^IBE(352.5,^2.0^806
BILL FORM TYPE^11^IBE(353,^2.0^6
PLACE OF SERVICE^48^IBE(353.1,^2.0^50
TYPE OF SERVICE^21^IBE(353.2,^2.0^21
IB ATTACHMENT REPORT TYPE^61^IBE(353.3,^2.0^61
TRANSPORT REASON CODE^5^IBE(353.4,^2.0^5
AMBULANCE CONDITION INDICATORS^8^IBE(353.5,^2.0^8
BILLING PATIENT^^IBA(354,^2.0^
BILLING EXEMPTIONS^^IBA(354.1,^2.0^
EXEMPTION REASON^12^IBE(354.2,^2.0^12
BILLING THRESHOLDS^22^IBE(354.3,^2.0^22
BILLING ALERTS^^IBA(354.4,^2.0^
BILLING ALERT DEFINITION^14^IBE(354.5,^2.0^20
IB FORM LETTER^2^IBE(354.6,^2.0^2
IB PATIENT COPAY ACCOUNT^^IBAM(354.7,^2.0^
IB COPAY TRANSACTIONS^^IBAM(354.71,^2.0^
IB COPAY CAPS^22^IBAM(354.75,^2.0^22
TYPE OF PLAN^63^IBE(355.1,^2.0^85
SOURCE OF INFORMATION^19^IBE(355.12,^2.0^19
INSURANCE FILING TIME FRAME^8^IBE(355.13,^2.0^8
TYPE OF INSURANCE COVERAGE^18^IBE(355.2,^2.0^20
GROUP INSURANCE PLAN^0^IBA(355.3,^2.0^
PLAN LIMITATION CATEGORY^6^IBE(355.31,^^6
PLAN COVERAGE LIMITATIONS^^IBA(355.32,^^
INSURANCE VERIFICATION PROCESSOR^0^IBA(355.33,^2.0^
INSURANCE REMOTE QUERY RESULTS^^IBA(355.34,^2.0^
HMS EXTRACT FILE STATUS^^IBA(355.35,^2.0^
HMS RESULT FILE STATUS^^IBA(355.351,^2.0^
ANNUAL BENEFITS^^IBA(355.4,^2.0^
INSURANCE CLAIMS YEAR TO DATE^^IBA(355.5,^2.0^
INSURANCE RIDERS^22^IBE(355.6,^2.0^22
PERSONAL POLICY^^IBA(355.7,^2.0^
SPONSOR^^IBA(355.8,^2.0^
SPONSOR RELATIONSHIP^^IBA(355.81,^2.0^
SPONSOR PERSON^^IBA(355.82,^2.0^
IB BILLING PRACTITIONER ID^^IBA(355.9,^2.0^
IB INSURANCE CO LEVEL BILLING PROV ID^^IBA(355.91,^2.0^
FACILITY BILLING ID^^IBA(355.92,^2.0^
IB NON/OTHER VA BILLING PROVIDER^0^IBA(355.93,^2.0^
IB PROVIDER ID CARE UNIT^^IBA(355.95,^2.0^
IB INS CO PROVIDER ID CARE UNIT^^IBA(355.96,^2.0^
IB PROVIDER ID # TYPE^26^IBE(355.97,^2.0^35
IB ALTERNATE PRIMARY ID TYPE^1^IBA(355.98,^2.0^1
MASTER TYPE OF PLAN^15^IBEMTOP(355.99,^2.0^15
CLAIMS TRACKING^^IBT(356,^2.0^
X12 278 REQUEST CATEGORY^4^IBT(356.001,^2.0^4
X12 278 CERTIFICATION TYPE CODE^8^IBT(356.002,^2.0^8
X12 278 CURRENT HEALTH CONDITION CODE^13^IBT(356.003,^2.0^13
X12 278 PROGNOSIS CODE^8^IBT(356.004,^2.0^8
X12 278 DELAY REASON CODE^11^IBT(356.005,^2.0^11
X12 278 DIAGNOSIS TYPE^10^IBT(356.006,^2.0^10
X12 278 DELIVERY PATTERN TIME CODE^8^IBT(356.007,^2.0^8
X12 278 CONDITION CODE^94^IBT(356.008,^2.0^94
X12 278 ADMISSION SOURCE^9^IBT(356.009,^2.0^9
X12 278 PATIENT STATUS^19^IBT(356.01,^2.0^19
X12 278 NURSING HOME RESIDENTIAL STATUS^9^IBT(356.011,^2.0^9
X12 278 SUBLUXATION LEVEL CODE^28^IBT(356.012,^2.0^28
X12 278 OXYGEN EQUIPMENT TYPE^6^IBT(356.013,^2.0^6
X12 278 OXYGEN TEST CONDITION^7^IBT(356.014,^2.0^7
X12 278 OXYGEN TEST FINDINGS^3^IBT(356.015,^2.0^3
X12 278 OXYGEN DELIVERY SYSTEM CODE^5^IBT(356.016,^2.0^5
X12 278 PATIENT LOCATION^15^IBT(356.017,^2.0^15
X12 278 REPORT TYPE CODE^66^IBT(356.018,^2.0^66
X12 278 NURSING HOME LEVEL OF CARE^8^IBT(356.019,^2.0^8
X12 278 CERTIFICATION ACTION CODES^8^IBT(356.02,^2.0^8
X12 278 HCS DECISION REASON CODES^50^IBT(356.021,^2.0^50
X12 278 DENTAL NUMBERING SYSTEM^52^IBT(356.022,^2.0^52
HCSR WORKLIST DELETE REASON CODE^12^IBT(356.023,^2.0^12
HOSPITAL REVIEW^0^IBT(356.1,^2.0^
CLAIMS TRACKING REVIEW TYPE^14^IBE(356.11,^2.0^14
CLAIMS TRACKING UNBILLED AMOUNTS DATA^^IBE(356.19,^2.0^
INSURANCE REVIEW^^IBT(356.2,^2.0^
CLAIMS TRACKING DENIAL REASONS^11^IBE(356.21,^2.0^11
HCS REVIEW TRANSMISSION^^IBT(356.22,^2.0^
CLAIMS TRACKING ROI^^IBT(356.25,^2.0^
CLAIMS TRACKING ROI CONSENT^^IBT(356.26,^2.0^
CLAIMS TRACKING SI/IS CATEGORIES^23^IBE(356.3,^2.0^25
CLAIMS TRACKING/BILL^^IBT(356.399,^2.0^
CLAIMS TRACKING NON-ACUTE CLASSIFICATIONS^64^IBE(356.4,^2.0^64
CLAIMS TRACKING ALOS^492^IBE(356.5,^2.0^492
CLAIMS TRACKING TYPE^5^IBE(356.6,^2.0^5
CLAIMS TRACKING ACTION^5^IBE(356.7,^2.0^5
CLAIMS TRACKING NON-BILLABLE REASONS^117^IBE(356.8,^2.0^118
CLAIMS TRACKING BILLABLE FINDINGS^18^IBT(356.85,^2.0^18
INPATIENT DIAGNOSIS^^IBT(356.9,^2.0^
INPATIENT PROCEDURE^^IBT(356.91,^2.0^
INPATIENT INTERIM DRG^^IBT(356.93,^2.0^
INPATIENT PROVIDERS^^IBT(356.94,^2.0^
ENCOUNTER FORM^710^IBE(357,^3.0^710
AICS PURGE LOG^^IBD(357.08,^3.0^
ENCOUNTER FORM PARAMETERS^1^IBD(357.09,^3.0^1
ENCOUNTER FORM BLOCK^3353^IBE(357.1,^3.0^3353
SELECTION LIST^2029^IBE(357.2,^3.0^2029
SELECTION^385438^IBE(357.3,^3.0^385438
SELECTION GROUP^21166^IBE(357.4,^3.0^21166
DATA FIELD^2765^IBE(357.5,^3.0^2765
PACKAGE INTERFACE^122^IBE(357.6,^3.0^172
TYPE OF VISIT^220^IBE(357.69,^3.0^99496
FORM LINE^13^IBE(357.7,^3.0^13
TEXT AREA^2^IBE(357.8,^3.0^2
MARKING AREA TYPE^17^IBE(357.91,^3.0^18
PRINT CONDITIONS^3^IBE(357.92,^3.0^3
MULTIPLE CHOICE FIELD^9^IBE(357.93,^3.0^9
ENCOUNTER FORM PRINTERS^^IBE(357.94,^3.0^
FORM DEFINITION^^IBD(357.95,^3.0^
ENCOUNTER FORM TRACKING^0^IBD(357.96,^3.0^
ENCOUNTER FORM COUNTERS^^IBD(357.97,^3.0^
AICS DATA QUALIFIERS^29^IBD(357.98,^3.0^31
PRINT MANAGER CLINIC GROUPS^^IBD(357.99,^3.0^
IMP/EXP ENCOUNTER FORM^0^IBE(358,^^
IMP/EXP ENCOUNTER FORM BLOCK^0^IBE(358.1,^^
IMP/EXP SELECTION LIST^0^IBE(358.2,^^
IMP/EXP SELECTION^0^IBE(358.3,^^
IMP/EXP SELECTION GROUP^0^IBE(358.4,^^
IMP/EXP DATA FIELD^0^IBE(358.5,^^
IMP/EXP PACKAGE INTERFACE^9^IBE(358.6,^3.0^9
IMP/EXP FORM LINE^0^IBE(358.7,^3.0^0
IMP/EXP TEXT AREA^0^IBE(358.8,^3.0^0
IMP/EXP MARKING AREA^2^IBE(358.91,^^2
IMP/EXP MULTIPLE CHOICE FIELD^0^IBE(358.93,^3.0^0
IMP/EXP HAND PRINT FIELD^0^IBE(358.94,^3.0^0
IMP/EXP AICS DATA QUALIFIERS^9^IBD(358.98,^3.0^9
IMP/EXP AICS DATA ELEMENTS^5^IBE(358.99,^3.0^5
CONVERTED FORMS^^IBD(359,^3.0^
AICS DATA ELEMENTS^24^IBE(359.1,^3.0^34
FORM SPECS^^IBD(359.2,^3.0^
AICS ERROR AND WARNING LOG^^IBD(359.3,^3.0^
HAND PRINT FIELD^14^IBE(359.94,^3.0^14
IB-FB INTERFACE TRACKING^^IBFB(360,^2.0^
BILL STATUS MESSAGE^^IBM(361,^2.0^
EXPLANATION OF BENEFITS^0^IBM(361.1,^2.0^
IB ELECTRONIC REPORT DISPOSITION^27^IBE(361.2,^2.0^81
IB MESSAGE SCREEN TEXT^24^IBE(361.3,^2.0^25
EDI TEST CLAIM STATUS MESSAGE^^IBM(361.4,^2.0^
IB AUTOMATED BILLING COMMENTS^^IBA(362.1,^2.0^
IB BILL/CLAIMS DIAGNOSIS^^IBA(362.3,^2.0^
IB BILL/CLAIMS PRESCRIPTION REFILL^^IBA(362.4,^2.0^
IB BILL/CLAIMS PROSTHETICS^0^IBA(362.5,^2.0^
RATE SCHEDULE^120^IBE(363,^2.0^120
CHARGE SET^59^IBE(363.1,^2.0^59
CHARGE ITEM^797648^IBA(363.2,^2.0^797653
BILLING ITEMS^5^IBA(363.21,^2.0^5
BILLING RATE^19^IBE(363.3,^2.0^19
BILLING REGION^2^IBE(363.31,^2.0^2
BILLING SPECIAL GROUPS^2^IBE(363.32,^2.0^2
BILLING REVENUE CODE LINKS^3317^IBE(363.33,^2.0^3317
BILLING PROVIDER DISCOUNT^1^IBE(363.34,^2.0^9
EDI TRANSMIT BILL^^IBA(364,^2.0^
EDI TRANSMISSION BATCH^0^IBA(364.1,^2.0^
EDI MESSAGES^0^IBA(364.2,^2.0^
IB MESSAGE ROUTER^6^IBE(364.3,^2.0^12
IB EDI TRANSMISSION RULE^^IBE(364.4,^2.0^
IB DATA ELEMENT DEFINITION^359^IBA(364.5,^2.0^200
IB FORM SKELETON DEFINITION^1515^IBA(364.6,^2.0^2371
IB FORM FIELD CONTENT^1532^IBA(364.7,^2.0^1956
IIV RESPONSE^0^IBCN(365,^2.0^
X12 271 ELIGIBILITY/BENEFIT^35^IBE(365.011,^2.0^35
X12 271 COVERAGE LEVEL^^IBE(365.012,^2.0^
X12 271 SERVICE TYPE^187^IBE(365.013,^2.0^188
X12 271 INSURANCE TYPE^45^IBE(365.014,^2.0^45
X12 271 TIME PERIOD QUALIFIER^19^IBE(365.015,^2.0^19
X12 271 QUANTITY QUALIFIER^19^IBE(365.016,^2.0^19
X12 271 ERROR CONDITION^66^IBE(365.017,^2.0^66
X12 271 ERROR ACTION^^IBE(365.018,^2.0^
X12 271 CONTACT QUALIFIER^8^IBE(365.021,^2.0^8
X12 271 ENTITY IDENTIFIER CODE^32^IBE(365.022,^2.0^32
X12 271 IDENTIFICATION QUALIFIER^13^IBE(365.023,^2.0^13
X12 271 PROVIDER CODE^17^IBE(365.024,^2.0^17
X12 271 DELIVERY FREQUENCY CODE^44^IBE(365.025,^2.0^44
X12 271 DATE QUALIFIER^32^IBE(365.026,^2.0^32
X12 271 LOOP ID^26^IBE(365.027,^2.0^26
X12 271 REFERENCE IDENTIFICATION^20^IBE(365.028,^2.0^20
X12 271 UNITS OF MEASUREMENT^5^IBE(365.029,^2.0^5
X12 271 ENTITY RELATIONSHIP CODE^7^IBE(365.031,^2.0^7
X12 271 DATE FORMAT QUALIFIER^2^IBE(365.032,^2.0^2
X12 271 YES/NO RESPONSE CODE ^3^IBE(365.033,^2.0^3
X12 271 LOCATION QUALIFER^1^IBE(365.034,^2.0^1
X12 271 PROCEDURE CODING METHOD^6^IBE(365.035,^2.0^6
X12 271 DELIVERY PATTERN^8^IBE(365.036,^2.0^8
X12 271 PATIENT RELATIONSHIP^11^IBE(365.037,^2.0^11
X12 271 INJURY CATEGORY^1^IBE(365.038,^2.0^1
X12 271 MILITARY PERSONNEL INFO STATUS CODE^6^IBE(365.039,^2.0^6
X12 271 MILITARY GOVT SERVICE AFFILIATION^20^IBE(365.041,^2.0^20
X12 271 MILITARY SERVICE RANK^39^IBE(365.042,^2.0^39
X12 271 ENTITY TYPE QUALIFIER^2^IBE(365.043,^2.0^2
X12 271 CODE LIST QUALIFIER^5^IBE(365.044,^2.0^5
X12 271 NATURE OF INJURY CODES^2^IBE(365.045,^2.0^3
X12 271 MILITARY EMPLOYMENT STATUS CODE^15^IBE(365.046,^2.0^15
IIV TRANSMISSION QUEUE^^IBCN(365.1,^2.0^
IIV AUTO MATCH^^IBCN(365.11,^2.0^
PAYER^431^IBE(365.12,^2.0^431
PAYER APPLICATION^1^IBE(365.13,^2.0^1
IIV TRANSMISSION STATUS^7^IBE(365.14,^2.0^7
IIV STATUS TABLE^25^IBE(365.15,^2.0^27
IIV RESPONSE REVIEW^^IBCN(365.2,^2.0^
IB SSVI PIN/HL7 PIVOT^^IBCN(366,^2.0^
NCPDP PROCESSOR^85^IBCNR(366.01,^2.0^94
PHARMACY BENEFITS MANAGER (PBM)^104^IBCNR(366.02,^2.0^108
PLAN^7676^IBCNR(366.03,^2.0^7682
IB INSURANCE INCONSISTENT DATA^^IBCN(366.1,^2.0^
NCPDP PROCESSOR APPLICATION^1^IBCNR(366.11,^2.0^1
PHARMACY BENEFITS MANAGER (PBM) APPLICATION^1^IBCNR(366.12,^2.0^1
PLAN APPLICATION^1^IBCNR(366.13,^2.0^1
IB NCPDP EVENT LOG^^IBCNR(366.14,^2.0^
IB NCPDP PRESCRIPTION^^IBCNR(366.15,^2.0^
IB NCPDP NON-BILLABLE REASONS^89^IBCNR(366.17,^2.0^89
IB INSURANCE CONSISTENCY ELEMENTS^36^IBCN(366.2,^2.0^99
HPID/OEID RESPONSE^^IBCNH(367,^2.0^
HPID/OEID TRANSMISSION QUEUE^^IBCNH(367.1,^2.0^
INSURANCE COMPANY ID TYPE^10^IBE(367.11,^2.0^10
HEALTH CARE CLAIM RFAI (277)^^IBA(368,^2.0^
X12 277 CLAIM STATUS CATEGORY^17^IBE(368.001,^2.0^17
X12 277 PRODUCT OR SERVICE ID QUAL^8^IBE(368.002,^2.0^8
PFSS SITE PARAMETERS^1^IBBAS(372,^2.0^1
PFSS CHARGE CACHE^^IBBAD(373,^2.0^
PFSS ACCOUNT^^IBBAA(375,^2.0^
STATION NUMBER (TIME SENSITIVE)^1^VA(389.9,^5.3^1
ENROLLMENT RATED DISABILITY UPLOAD AUDIT^^DGRDUA(390,^5.3^
MHV SOCIALIZATION^6^DGMHV(390.01,^5.3^6
MHV SOCIALIZATION ACTIONS^14^DGMHV(390.02,^5.3^14
MHV DECLINED REASONS^10^DGMHV(390.03,^5.3^10
MHV ACTION SELECTION^4^DGMHV(390.04,^5.3^4
TYPE OF PATIENT^10^DG(391,^5.3^15
AMIS SEGMENT^^DG(391.1,^5.3^
DG REGISTER ONCE FIELD DEFINITION^246^DGRO(391.23,^5.3^213
HOME TELEHEALTH PATIENT^^DGHT(391.31,^5.3^
ADT/HL7 PIVOT^39^VAT(391.71,^5.3^39
ADT/HL7 EVENT REASON^3^VAT(391.72,^5.3^3
TREATING FACILITY LIST^^DGCN(391.91,^5.3^
PATIENT DATA EXCEPTION^^DGCN(391.98,^5.3^
EXCEPTION STATUS^6^DGCN(391.984,^5.3^6
PATIENT DATA ELEMENT^^DGCN(391.99,^5.3^
BENEFICIARY TRAVEL CLAIM^^DGBT(392,^1.0^
BENEFICIARY TRAVEL DISTANCE^^DGBT(392.1,^1.0^
BENEFICIARY TRAVEL CERTIFICATION^^DGBT(392.2,^1.0^
BENEFICIARY TRAVEL ACCOUNT^9^DGBT(392.3,^1.0^9
LOCAL VENDOR^^DGBT(392.31,^1.0^
BENEFICIARY TRAVEL MODE OF TRANSPORTATION^^DGBT(392.4,^1.0^
BT CLAIM ELIGIBILITY CODE^21^DGBT(392.41,^1.0^21
BT SPECIAL MODE OF TRANSPORTATION^7^DGBT(392.42,^1.0^7
BT COMMON CARRIER MODE OF TRANSPORTATION^9^DGBT(392.43,^1.0^9
BENEFICIARY TRAVEL DASHBOARD CONFIG^^DGBT(392.5,^1.0^
BENEFICIARY TRAVEL DASHBOARD AUDIT^^DGBT(392.51,^1.0^
BENEFICIARY TRAVEL DENIAL LETTERS^4^DGBT(392.6,^1.0^4
BENEFICIARY TRAVEL MANUAL DEDUCTIBLE WAIVER^^DGBT(392.7,^1.0^
BENEFICIARY TRAVEL DENIAL REASONS^6^DGBT(392.8,^1.0^6
BT PATIENT ALTERNATE INCOME^^DGBT(392.9,^1.0^
INCOMPLETE RECORDS^^VAS(393,^1.0^
MAS SERVICE^12^DG(393.1,^1.0^12
IRT STATUS^7^DG(393.2,^1.0^7
IRT TYPE OF DEFICIENCY^86^VAS(393.3,^1.0^87
TYPE OF CATEGORY^13^VAS(393.41,^1.0^13
*PDX TRANSACTION^^VAT(394,^1.5^
*PDX DATA^^VAT(394.1,^1.5^
*PDX PARAMETER^^VAT(394.2,^1.5^
*PDX STATUS^0^VAT(394.3,^1.5^0
*PDX STATISTICS^^VAT(394.4,^1.5^
VAQ - TRANSACTION^^VAT(394.61,^1.5^
VAQ - DATA^^VAT(394.62,^1.5^
VAQ - DATA SEGMENT^74^VAT(394.71,^1.5^75
VAQ - ENCRYPTION METHOD^1^VAT(394.72,^1.5^1
VAQ - ENCRYPTED FIELDS^6^VAT(394.73,^1.5^6
VAQ - PARAMETER^1^VAT(394.81,^1.5^1
VAQ - RELEASE GROUP^^VAT(394.82,^1.5^
VAQ - OUTGOING GROUP^^VAT(394.83,^1.5^
VAQ - SEGMENT GROUP^1^VAT(394.84,^1.5^1
VAQ - STATUS^13^VAT(394.85,^1.5^13
VAQ - AUTO-NUMBERING^1^VAT(394.86,^1.5^1
VAQ - WORKLOAD^^VAT(394.87,^1.5^
VAQ - WORK^9^VAT(394.88,^1.5^9
DVB PARAMETERS^^DVB(395,^4^
ENTITLEMENT CODES^90^DVB(395.1,^4^90
ANATOMICAL-LOSS CODES^52^DVB(395.2,^4^52
MONTHLY COMPENSATION^50^DVB(395.3,^4^50
DIARY DEFINITIONS^34^DVB(395.4,^4^36
HINQ SUSPENSE^^DVB(395.5,^4^
HINQ AUDIT^^DVB(395.7,^4^
FORM 7131^0^DVB(396,^2.7^
AMIE SITE PARAMETER^1^DVB(396.1,^2.7^1
CAPRI DIVISION EXAM LIST^^DVB(396.15,^2.7^
CAPRI TEMPLATES^^DVB(396.17,^2.7^
CAPRI TEMPLATE DEFINITIONS^496^DVB(396.18,^2.7^1017
AMIE REPORT^^DVB(396.2,^2.7^
2507 SPECIAL CONSIDERATIONS^6^DVB(396.25,^2.7^6
2507 CLAIM TYPE^7^DVB(396.27,^2.7^7
2507 REQUEST^0^DVB(396.3,^2.7^
2507 EXAM^^DVB(396.4,^2.7^
2507 EXAM CONTRACTORS^^DVB(396.45,^2.7^
2507 CANCELLATION REASON^24^DVB(396.5,^2.7^24
AMIE EXAM^403^DVB(396.6,^2.7^463
2507 BODY SYSTEM^23^DVB(396.7,^2.7^23
FORM 28-8861^^DVB(396.9,^2.7^
MEDICAL SERVICES REQUESTED^28^DVB(396.918,^2.7^28
2507 INSUFFICIENT REASONS^19^DVB(396.94,^2.7^19
AMIE C&P EXAM TRACKING^^DVB(396.95,^2.7^
BILL/CLAIMS^0^DGCR(399,^2.0^
MCCR UTILITY^672^DGCR(399.1,^2.0^684
REVENUE CODE^999^DGCR(399.2,^2.0^999
RATE TYPE^17^DGCR(399.3,^2.0^17
MCCR INCONSISTENT DATA ELEMENTS^50^DGCR(399.4,^2.0^99
BILLING RATES^379^DGCR(399.5,^2.0^379
SCHEDULING USER PREFERENCE^^SCRS(403.35,^5.3^
SCHEDULING EVENT^40^SD(403.43,^5.3^42
SCHEDULING REASON^30^SD(403.44,^5.3^30
STANDARD POSITION^73^SD(403.46,^5.3^74
TEAM PURPOSE^13^SD(403.47,^5.3^13
RECALL REMINDERS^^SD(403.5,^5.3^
RECALL REMINDERS APPT TYPE^^SD(403.51,^5.3^
RECALL REMINDERS LETTERS^^SD(403.52,^5.3^
RECALL REMINDERS PARAMETERS^^SD(403.53,^5.3^
RECALL REMINDERS PROVIDERS^^SD(403.54,^5.3^
RECALL REMINDERS TEAM^^SD(403.55,^5.3^
RECALL REMINDERS REMOVED^^SD(403.56,^5.3^
OUTPATIENT PROFILE^^SCPT(404.41,^5.3^
PATIENT TEAM ASSIGNMENT^^SCPT(404.42,^5.3^
PATIENT TEAM POSITION ASSIGNMENT^0^SCPT(404.43,^5.3^
PCMM PARAMETER^1^SCTM(404.44,^5.3^1
PCMM SERVER PATCH^13^SCTM(404.45,^5.3^13
PCMM CLIENT PATCH^8^SCTM(404.46,^5.3^8
PCMM HL7 TRANSMISSION LOG^0^SCPT(404.471,^5.3^0
PCMM HL7 ERROR CODE^70^SCPT(404.472,^5.3^70
PCMM HL7 EVENT^0^SCPT(404.48,^5.3^0
PCMM HL7 ID^0^SCPT(404.49,^5.3^0
TEAM^1^SCTM(404.51,^5.3^1
POSITION ASSIGNMENT HISTORY^^SCTM(404.52,^5.3^
PRECEPTOR ASSIGNMENT HISTORY^^SCTM(404.53,^5.3^
PCMM PATIENT EVENTS^^SCPT(404.54,^5.3^
TEAM AUTOLINK^^SCTM(404.56,^5.3^
TEAM POSITION^3^SCTM(404.57,^5.3^3
TEAM HISTORY^1^SCTM(404.58,^5.3^1
TEAM POSITION HISTORY^^SCTM(404.59,^5.3^
MH PCMM STOP CODES^58^SCTM(404.61,^5.3^58
SCHEDULING PARAMETER^1^SD(404.91,^5.3^1
SCHEDULING REPORT DEFINITION^8^SD(404.92,^5.3^8
SCHEDULING REPORT FIELDS DEFINITION^9^SD(404.93,^5.3^10
SCHEDULING REPORT GROUP^3^SD(404.94,^5.3^3
SCHEDULING REPORT QUERY TEMPLATE^1^SD(404.95,^5.3^1
